area_name,measure_point_id,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pce_coating_percentage,total_pipe_lenght
Deurningen,472,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.4
Deurningen,447,0.0,0.82,0.0,0.82,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.0,0.82
Deurningen,445,0.0,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.0,0.71
Deurningen,459,0.0,385.21,0.0,286.35,0.0,0.0,98.86,0.0,385.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.86,0.0,286.35,1.0,385.22
Deurningen,458,0.79,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.79
Deurningen,457,0.0,1.19,0.0,1.19,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.0,1.19
Deurningen,479,0.0,185.3,0.0,80.6,0.0,0.0,101.11,3.59,185.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.11,0.0,84.19,1.0,185.29
Deurningen,471,0.0,222.84,0.0,222.84,0.0,0.0,0.0,0.0,222.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.84,1.0,222.84
Deurningen,464,594.32,495.34,0.0,1089.66,0.0,0.0,0.0,0.0,1089.66,0.0,0.0,0.0,594.32,0.0,0.0,0.0,57.69,0.0,437.65,1.0,1089.65
Deurningen,466,0.0,418.65,0.0,0.0,0.0,0.0,204.12,214.53,418.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.12,0.0,214.53,1.0,418.65
Deurningen,446,0.0,0.68,0.0,0.0,0.0,0.0,0.68,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.0,0.68
Deurningen,468,0.0,1.42,0.0,1.42,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.0,1.42
Deurningen,449,264.57,0.0,0.0,235.33,0.0,0.0,29.24,0.0,264.57,0.0,0.0,0.0,264.57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,264.57
Deurningen,470,0.0,478.26,0.0,478.26,0.0,0.0,0.0,0.0,478.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.26,1.0,478.26
Deurningen,481,0.0,327.07,0.0,325.59,0.0,0.0,0.0,1.48,327.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.07,1.0,327.08
Deurningen,477,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76
Deurningen,487,0.0,6.12,0.0,6.12,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,1.0,6.12
Deurningen,467,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72
Deurningen,483,0.0,318.27,0.0,318.27,0.0,0.0,0.0,0.0,318.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.27,1.0,318.27
Deurningen,485,0.0,261.6,0.0,242.04,0.0,0.0,19.56,0.0,261.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.56,0.0,242.04,1.0,261.61
Deurningen,474,0.0,540.54,0.0,540.54,0.0,0.0,0.0,0.0,540.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.54,1.0,540.54
Deurningen,456,0.0,5.26,0.0,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,1.0,5.26
Deurningen,461,0.0,169.21,0.0,153.3,0.0,0.0,15.91,0.0,169.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.91,0.0,153.3,1.0,169.2
Deurningen,465,0.0,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.0,0.66
Deurningen,448,0.46,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46
Denekamp 2,1110,0.0,0.52,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52
Denekamp 2,1114,0.0,500.58,57.71,296.69,57.71,0.0,31.16,172.73,500.58,0.0,0.0,57.71,0.0,57.71,0.0,0.0,0.0,0.0,500.58,0.0,558.3
Denekamp 2,1113,0.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.67
Denekamp 2,1111,0.0,1811.97,0.0,1206.56,0.0,0.0,605.41,0.0,1811.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1811.97,0.0,1811.98
Almelo Castello,1215,0.0,0.54,0.0,0.54,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1.0,0.54
Almelo Castello,1184,0.0,11.5,0.0,11.5,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,11.5
Almelo Castello,1211,0.0,0.48,0.0,0.48,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.0,0.48
Almelo Castello,1189,0.0,0.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67
Almelo Castello,1191,0.0,0.0,12.02,0.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,12.02,0.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,12.02
Almelo Castello,1187,0.0,0.0,1.09,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,1.09
