area_id,measure_point_id,sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,acid_Zuur,acid_Zwakzuur,acid_Water,ground_water_Vrijdiep,ground_water_Water,ground_water_Zeerondiep,ground_water_Ondiep,ground_water_Diep,stability_Stabiel,stability_Redelijkstabiel,stability_Instabiel,stability_Water,ground_type_Zandenleem,ground_type_Water,ground_type_Veenenzand,ground_type_Veen,ground_type_Kleienzand,ground_type_Leem,ground_type_Zand,pipe_coating,pipe_length,point_label,gradient_label,binned_points,binned_gradients
Deurningen,477,31.0203156328,41.2204642132,27.4098823303,66.6618291919,70.5323811981,6.51616279685,-87.4304033812,-154.539759686,-164.850363663,-129.207286104,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76,-84.2968159154,449.104701883,4,9
Deurningen,477,41.2204642132,27.4098823303,66.6618291919,70.5323811981,6.51616279685,-87.4304033812,-154.539759686,-164.850363663,-129.207286104,-84.2968159154,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76,-64.7444053457,195.524105696,4,8
Deurningen,477,27.4098823303,66.6618291919,70.5323811981,6.51616279685,-87.4304033812,-154.539759686,-164.850363663,-129.207286104,-84.2968159154,-64.7444053457,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76,-80.3652053929,-156.208000472,4,7
Deurningen,477,66.6618291919,70.5323811981,6.51616279685,-87.4304033812,-154.539759686,-164.850363663,-129.207286104,-84.2968159154,-64.7444053457,-80.3652053929,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76,-110.933464412,-305.682590191,3,6
Deurningen,477,70.5323811981,6.51616279685,-87.4304033812,-154.539759686,-164.850363663,-129.207286104,-84.2968159154,-64.7444053457,-80.3652053929,-110.933464412,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76,-120.867158359,-99.3369394647,3,7
Deurningen,477,6.51616279685,-87.4304033812,-154.539759686,-164.850363663,-129.207286104,-84.2968159154,-64.7444053457,-80.3652053929,-110.933464412,-120.867158359,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76,-85.5433540033,353.238043553,4,9
Deurningen,477,-87.4304033812,-154.539759686,-164.850363663,-129.207286104,-84.2968159154,-64.7444053457,-80.3652053929,-110.933464412,-120.867158359,-85.5433540033,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76,-13.103942106,724.394118973,5,10
Deurningen,477,-154.539759686,-164.850363663,-129.207286104,-84.2968159154,-64.7444053457,-80.3652053929,-110.933464412,-120.867158359,-85.5433540033,-13.103942106,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76,55.8835188005,689.874609065,7,10
Deurningen,477,-164.850363663,-129.207286104,-84.2968159154,-64.7444053457,-80.3652053929,-110.933464412,-120.867158359,-85.5433540033,-13.103942106,55.8835188005,0.0,3.76,0.0,0.0,0.0,0.0,3.76,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,1.0,3.76,80.1430704047,242.595516042,7,8
Deurningen,467,115.314704044,-42.7240012771,341.1329677,100.956159747,-475.047967395,-838.95952144,-723.857483109,-242.885513759,262.802899644,464.904647515,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,-92.9028110683,250.200449262,4,9
Deurningen,467,-42.7240012771,341.1329677,100.956159747,-475.047967395,-838.95952144,-723.857483109,-242.885513759,262.802899644,464.904647515,250.200449262,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,-67.8827661421,-201.714637604,4,7
Deurningen,467,341.1329677,100.956159747,-475.047967395,-838.95952144,-723.857483109,-242.885513759,262.802899644,464.904647515,250.200449262,-201.714637604,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,-88.0542299026,-502.851240945,4,5
Deurningen,467,100.956159747,-475.047967395,-838.95952144,-723.857483109,-242.885513759,262.802899644,464.904647515,250.200449262,-201.714637604,-502.851240945,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,-138.339353997,-286.142526281,3,6
Deurningen,467,-475.047967395,-838.95952144,-723.857483109,-242.885513759,262.802899644,464.904647515,250.200449262,-201.714637604,-502.851240945,-286.142526281,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,1.0,0.72,-166.953606625,499.16981261,2,10
